oodham,english,partOfSpeech,pattern,pronunciation,reduplicated,redup_pronunciation,redup_meaning,dialect,dialect_id,examples,sing_audio,pl_audio,image,example_audio,
’uskonakuḍ,fork,noun,2,[ˈʔus.kɔ.nɑ.kuɖ̥],’u’uskonakuḍ,[ˈʔu.ʔus.kɔ.nɑ.kuɖ̥],forks,Any,,Hema ñ-ma:k g ’uskonakuḍ.::Give me a fork.||Pi ’am hu vi’is g ’u’uskonakuḍ.::There are no forks left.,audio/fork.mp3,audio/forks.mp3,,audio/examples/givemeafork.mp3||audio/examples/therearenoforksleft.mp3,
kusal,spoon,noun,1,[ˈku.sɑɽ̥],kuksal,[ˈkuk.sɑɽ̥],spoons,Any,,Hugiñ g ’e-kusalkaj.::Eat it with your spoon.||Ha’i g ’i ’u’ukai g kuksal.::Bring some spoons.,audio/spoon.mp3,audio/spoons.mp3,,audio/examples/eatitwithyourspoon.mp3||audio/examples/bringsomespoons.mp3,
ku:paḍag,door,noun,1,[ˈkuː.pɑ.ɖɑg̥],ku:kpaḍag,[ˈkuːk.pɑ.ɖɑg̥],doors,Any,,’I ku:p g ku:paḍag!::Close the door!,audio/door.mp3,audio/doors.mp3,,audio/examples/closethedoor.mp3,
kotoñ,shirt,noun,1,[ˈkɔ.t̪ɔɲ],koktoñ,[ˈkɔk.t̪ɔɲ],shirts,Any,,’Ab g va:kid ’i:da kotoñ.::Put this shirt on.,audio/shirtkoton.mp3,audio/shirtskoton.mp3,,audio/examples/putthisshirton.mp3,
kamiṣ,shirt,noun,1,[ˈkɑ.miʂ],kakmiṣ,[ˈkɑk.miʂ],shirts,Any,,’I naggia hegi kotoñ::Hang that shirt up.,audio/shirtkamis.mp3,audio/shirtskamis.mp3,,audio/examples/hangthatshirtup.mp3,
kalsi:do,sock,noun,2,[ˌkɑɽ.ˈsiː.d̪ɔ],kakalsi:do,[ˌkɑ.kɑɽ.ˈsiː.d̪ɔ],socks,Any,,Gḍ g hu toa’i g ’e-kakalsi:do.::Put your socks away.,audio/sock.mp3,audio/socks.mp3,,audio/examples/putyoursocksaway.mp3,
ṣu:ṣk,"shoe, pair of shoes",noun,4,[ʂuːʂk],ṣuṣuṣk,[ˈʂu.ʂuʂk],pairs of shoes,Any,,Ñeid g ñ-ṣu:ṣk!::Look at my shoes!,audio/shoe.mp3,audio/shoespairs.mp3,,audio/examples/lookatmyshoes.mp3,
kolhi,fence,noun,2,[ˈkɔɽ.hi],kokolhi,[ˈkɔ.kɔɽ.hi],fences,Any,,Hi:m k ku:piok g kolhi.::Go open the fence.,audio/fence.mp3,audio/fences.mp3,,audio/examples/goopenthefence.mp3,
kahio,leg,noun,7,[ˈkɑ̤.jɔ],kakkio,[ˈkɑk.kjɔ],legs,Any,,S-mohogid g ñ-kahio.::My leg itches.||No s-kokok g ’em-kakkio?::Do your legs hurt?,audio/leg.mp3,audio/legs.mp3,,audio/examples/mylegitches.mp3||audio/examples/doyourlegshurt.mp3,
taḍ,foot,noun,7,[t̪ɑɖ̥],ta:taḍ,[ˈt̪ɑː.t̪ɑɖ̥],feet,Any,,S-kokok g ñ-ta:taḍ.::My feet hurt.,audio/foot.mp3,audio/feet.mp3,,audio/examples/myfeethurt.mp3,
